SL Target,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes
4U 1630-47, 90901327002, B, 4U_1624m49, 41037.6885, 246.9734, -49.2442, 337.4953
GX 17+2, 30902003002, B, Kleinmann_Star, 29812.9994, 275.0853, -16.2116, 340.6847
XTE J1701-462, 90801022002, B, XTE_J1701m462_SLPA346, 9201.3726, 252.7161, -46.6801, 344.6311
Cyg X-1, 10802311002, B, Cyg_X1_sl_PA96, 17902.1546, 299.8002, 37.0917, 94.9668
Cyg X-1, 10802310004, B, Cyg_X1_sl_PA124, 18109.8202, 300.8136, 36.6017, 122.9086
Cyg X-1, 10802310002, B, Cyg_X1_sl_PA124, 22973.4694, 300.8106, 36.6028, 122.9116
4U 1700-377, 80802321002, B, IGR_J17091m3624, 17598.2777, 257.3321, -36.3781, 171.3784
GX 17+2, 30701024002, B, LS_5039, 181029.435, 276.603, -14.8092, 149.6428
4U 1700-377, 80702315006, B, IGR_J17091m3624, 15440.3947, 257.3298, -36.3675, 164.5302
4U 1700-377, 80702315004, B, IGR_J17091m3624, 18036.1972, 257.3245, -36.3687, 163.752
4U 1700-377, 80702315002, B, IGR_J17091m3624, 14835.5044, 257.3348, -36.3796, 162.7897
GX 3+1, 90901323002, B, GRS_1739m278, 38272.1833, 265.6512, -27.8141, 326.1796
GX 340+0, 90901311002, B, XTE_J1701m462, 22110.1525, 255.2917, -46.1531, 164.5345
4U 1630-47, 30801027002, B, 4U_1624m490, 39385.6595, 246.9613, -49.2117, 1.9967
1E 1740.7-294, 90901317002, B, IGR_J17498m2921, 44612.371, 267.5148, -29.2901, 159.6704
Unkn, 60801024002, B, AX_J1742d6m3022, 157029.5541, 265.7506, -30.3084, 158.1366
Unkn1, 30801014002, B, 2FHLJ1745d1m3035, 111463.7012, 266.3519, -30.5822, 157.4131
Unkn2, 30801014002, B, 2FHLJ1745d1m3035, 111463.7012, 266.3519, -30.5822, 157.4131
GX 3+1, 30801013002, B, IGR_J17407m2808, 55931.5145, 265.1355, -28.1469, 336.0555
SLX 1744-299, 30801013002, B, IGR_J17407m2808, 55931.5145, 265.1355, -28.1469, 336.0555
XTE J1701-462, 80801341002, B, GX_339m4, 20992.3866, 255.6462, -48.8268, 340.2692
Streak, 80801324004, B, IGR_J17091m3624, 81854.9384, 257.2371, -36.4547, 335.9943
Streak, 80801324002, B, IGR_J17091m3624, 27631.4999, 257.2381, -36.4526, 335.0958
GR, 30760001002, B, IGR_J17040m4305, 43521.9709, 256.0738, -43.068, 176.8942
GX 3+1, 90801302002, B, GRS_1758m258, 21219.759, 270.354, -25.6984, 153.1666
GX 301-2, 30901011002, A, 4U_1210m64, 43860.8306, 183.4261, -64.8471, 169.8003
XTE J1701-407, 40901004002, A, CTB_37B, 79645.3319, 258.4813, -38.2717, 348.6139
4U 1724-30, 80801332002, A, XMM_J173029m330920, 34844.6832, 262.6613, -33.1253, 165.8485
Streak, 80801332002, A, XMM_J173029m330920, 34844.6832, 262.6613, -33.1253, 165.8485
GX 354-0, 40801004002, A, G351d9m0d9, 68950.5827, 262.2815, -36.1938, 151.5818
4U 1822-371, 80701312002, A, SAX_J1808d4m3658, 107454.7004, 272.086, -37.0151, 325.6977
4U 1636-536, 60160656002, A, 1RXSJ165605d6m520345, 22940.4573, 253.9732, -52.1039, 324.5758
4U 1907+097, 30802017006, A, GRS_1915p105, 20537.6095, 288.8153, 10.9935, 126.6474
4U 1907+097, 30802017004, A, GRS_1915p105, 18869.2835, 288.8434, 10.963, 169.7172
NGC 1275, 90901305002, A, GK_Per, 43190.9658, 52.7648, 43.8678, 318.3776
4U 1630-47, 30901043002, B, HESS_J1626m490, 102377.9756, 246.679, -49.2414, 352.3053
Streak, 30901022002, B, IGR_J16418m4532, 79156.4365, 250.4215, -45.5752, 329.637
Unkn, 60464171002, B, HB89m2005p403, 20847.6972, 301.9914, 40.5178, 173.6873
4U 1907+097, 30802017004, B, GRS_1915p105, 18869.2835, 288.8434, 10.963, 169.7172
XTEJ1701-462, 80802320002, B, GX339m4, 21311.3464, 255.6515, -48.8213, 336.2294
4U1822-371, 80701312002, B, SAX_J1808d4m3658, 107454.7004, 272.086, -37.0151, 325.6977
4U 1538-522, 30902040002, B, 1E_1547d0m5408, 32938.7874, 237.6984, -54.3489, 315.6138
Streak, 80801332002, B, XMM_J173029m330920, 34844.6832, 262.6613, -33.1253, 165.8485
LMC X-2, 90801324002, B, LMC_X1, 19281.5354, 85.0455, -69.7357, 189.7396
4U 1538-522, 30802010002, B, APEP, 31031.5114, 240.2021, -51.7538, 289.5562
LMC X-4, 30902041006, A, LMC_X3, 28982.1902, 84.7266, -64.038, 96.0167
4U 1708-40, 80801335002, A, PNV_J17224490m4137160, 65402.0715, 260.7278, -41.5612, 167.8866
GX 301-2, 30901002002, A, RT_Cru, 66993.0383, 188.827, -64.5674, 209.5064
4U 1538-522, 90801309002, A, 1E_1547d0m5408, 24035.0074, 237.8197, -54.2853, 205.8014
NGC 1275, 90801501002, A, AT2021ehb, 71719.4915, 46.9228, 40.2732, 332.2208
LMC X-4, 30902041006, B, LMC_X3, 28982.1902, 84.7266, -64.038, 96.0167
4U 1907+097, 30802017006, B, GRS_1915p105, 20537.6095, 288.8153, 10.9935, 126.6474
4U 1708-40, 80801335002, B, PNV_J17224490m4137160, 65402.0715, 260.7278, -41.5612, 167.8866
GX 301-2, 30901002002, B, RT_Cru, 66993.0383, 188.827, -64.5674, 209.5064
4U 1538-522, 90801309002, B, 1E_1547d0m5408, 24035.0074, 237.8197, -54.2853, 205.8014
NGC 1275, 90801501002, B, AT2021ehb, 71719.4915, 46.9228, 40.2732, 332.2208
LMC X-4, 30802016002, A, LMC_X3, 22964.8063, 84.6895, -64.0468, 81.8733
Unkn, 60061269002, B, WKK6471, 23186.1973, 244.7289, -59.4475, 199.3513
4U 1538-522, 30802010004, B, APEP, 30067.1036, 240.2021, -51.7528, 291.3655
Streak, 90801328002, A, IGR_J12341m6143, 21167.5944, 188.423, -61.6578, 73.111
GamCas, 60160017002, A, QSOB0033p595, 23279.7091, 8.9854, 59.7875, 277.9143
Unkn, 30801005002, B, IGR_J20084p3221, 35538.7252, 302.1945, 32.3331, 119.0811
GamCas, 60160017002, B, QSOB0033p595, 23279.7091, 8.9854, 59.7875, 277.9143
LMC X-3, 40801006002, B, N63A, 110245.6181, 83.9298, -66.1118, 298.8112


