??, 31101029002, A, 4U_1812m12, 102125.0, 273.77658, -12.09669, 334.1327
??, 31002004008, A, SgrAstar, 18905.0, 266.41683, -29.00783, 158.359
??, 31002004006, A, SgrAstar, 24843.0, 266.41683, -29.00783, 158.1603
??, 31002004004, A, SgrAstar, 18946.0, 266.41683, -29.00783, 157.9926
??, 31002004002, A, SgrAstar, 17654.0, 266.41683, -29.00783, 157.7967
??, 41001006002, A, GC_BRIDGE, 93838.0, 266.5485, -28.88667, 156.9948
??, 81001323003, A, MAXI_J1744m294, 20470.0, 266.424708, -29.009722, 154.1484
??, 11102304002, A, Crab_sl_PA330, 20214.0, 81.8331, 21.1145, 329.8797
??, 41001003004, A, PSR_1809m2332, 59776.0, 272.43204, -23.51647, 333.3242
??, 11002306004, A, Crab_sl_PA150, 23102.0, 85.433212, 22.91446, 148.9884
??, 11002306002, A, Crab_sl_PA150, 19700.0, 85.433212, 22.91446, 149.1499939
??, 11002305004, A, Crab_sl_PA330, 19861.0, 81.8331, 21.1145, 329.7272
??, 80901047002, A, Swift_J151857_SLPA180, 6579.0, 233.0375, -57.4633, 180.2674
??, 11002305002, A, Crab_sl_PA330, 17466.0, 81.8331, 21.1145, 329.8387
