60602021004, M87, 47964.8241, 187.6611, 12.3865, 28.7368, 0
60602021002, M87, 48770.1036, 187.6612, 12.3905, 32.7813, 0
80601502001, Circinus_ULX5, 106116.1846, 213.1882, -65.3275, 102.6844, 0 Multiple
30601014003, 2FHL_J1745d1m3035, 107114.2612, 266.3299, -30.5272, 158.573, 1 Complicated
70660001002, ABELL_2029, 101749.4335, 227.7529, 5.7465, 164.7726, 1
70660002002, ABELL_478, 98814.8594, 63.3462, 10.4457, 151.2454, 1
70660004004, ABELL_2199, 52526.1277, 247.1419, 39.5392, 320.0378, 1
70660004002, ABELL_2199, 85603.1684, 247.1378, 39.5406, 320.0401, 1
30601032002, PSR_B0833m45, 205271.2071, 128.821, -45.2654, 308.1069, 2 Complicated
70660002004, ABELL_478, 123045.3949, 63.3515, 10.449, 151.2264, 2
70660003004, ABELL_1795, 52861.752, 207.1976, 26.5853, 346.181, 2
