SL Target,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes
GX 3+1, 30602020004, B, SgrAstar, 21216.7085, 266.3857, -29.0541, 329.524 GX
GX 3+1, 30602020002, A, SgrAstar, 20154.8636, 266.4124, -29.0425, 301.6656 
GX 3+1, 30602020002, B, SgrAstar, 20154.8636, 266.4124, -29.0425, 301.6656 
GS 1826-24, 80702324009, A, V4641_Sgr, 20118.9036, 274.7894, -25.4437, 333.909 
GS 1826-24, 80702324009, B, V4641_Sgr, 20118.9036, 274.7894, -25.4437, 333.909
Complex, 40702003006, A, G1d9p0d3, 141325.3673, 267.1786, -27.2255, 334.0676
Complex, 40702003006, B, G1d9p0d3, 141325.3673, 267.1786, -27.2255, 334.0676
Complex, 40702003004, A, G1d9p0d3, 129856.0094, 267.1704, -27.226, 334.0705
Complex, 40702003004, B, G1d9p0d3, 129856.0094, 267.1704, -27.226, 334.0705
Complex, 40702003002, A, G1d9p0d3, 94780.0802, 267.1484, -27.2277, 334.0743
Complex, 40702003002, B, G1d9p0d3, 94780.0802, 267.1484, -27.2277, 334.0743
GS 1826-24, 80702324008, A, V4641_Sgr, 19953.1196, 274.7953, -25.4447, 333.3867
GS 1826-24, 80702324008, B, V4641_Sgr, 19953.1196, 274.7953, -25.4447, 333.3867
Complex, 40702003010, A, G1d9p0d3, 73008.9558, 267.1477, -27.2357, 334.0055
Complex, 40702003010, B, G1d9p0d3, 73008.9558, 267.1477, -27.2357, 334.0055
GS 1826-24, 80702324004, A, V4641_Sgr, 19160.1971, 274.7935, -25.4478, 333.0838
GS 1826-24, 80702324004, B, V4641_Sgr, 19160.1971, 274.7935, -25.4478, 333.0838
GS 1826-24, 80702324002, A, V4641_Sgr, 18037.4621, 274.7947, -25.4512, 333.0064
GS 1826-24, 80702324002, B, V4641_Sgr, 18037.4621, 274.7947, -25.4512, 333.0064
Complex, 40702003008, A, G1d9p0d3, 161081.2724, 267.1654, -27.2218, 334.112 
Complex, 40702003008, B, G1d9p0d3, 161081.2724, 267.1654, -27.2218, 334.112
Unkn, 30602024002, B, 4U_1538m52, 21808.0764, 235.6726, -52.3602, 165.3528
