Go here,ftp://ftp.srl.caltech.edu/pub/,Go to nustar/from_hassif/straylight_triage,,,,"Bad = No stray light, Good = Obvious stray light from this source, Easy = ONLY stray light from this source",
Name,,Sequence ID,Off-axis (deg),Exposure (ks),Checked By:,Good / Bad / Easy,Notes
XTE J1550-564,MAXI_J1535m571,80302309014,2.305433398,3554.5013,,,
XTE J1550-564,MAXI_J1535m571_SLPA030,80302312001,3.944072133,9528.0614,,,
XTE J1550-564,MAXI_J1535m571_SADA_17295,80302311001,2.35097556,124.4401,,,
XTE J1550-564,MAXI_J1535m571,80402302009,2.306399531,1769.2674,,,
XTE J1550-564,MAXI_J1535m571_SLPA030,80302312002,3.944658283,12885.6455,,,
XTE J1550-564,MAXI_J1535m571,80402302010,2.30871756,3406.8287,,,
XTE J1550-564,MAXI_J1535m571,90301327002,2.277601457,904.5463,,,
XTE J1550-564,MAXI_J1535m571,90301327004,2.27272861,906.2979,,,
XTE J1550-564,MAXI_J1535m571,90501314002,2.237827634,52710.8748,,,
XTE J1550-564,84.7613259,337.1675575,,,,,
,,,,,,,
X1908+075,GRS1915p105,10002004001,3.553810172,14846.1223,,,
X1908+075,XTEJ1908p094,80001014002,1.805587555,45146.8332,,,
X1908+075,SS433,30002041002,2.648255718,26728.3618,,,
X1908+075,SS433,30002041004,2.664957691,25297.2929,,,
X1908+075,SS433,30002041006,2.656077017,29191.7762,,,
X1908+075,SS433,30002041008,2.6643485,27825.9359,,,
X1908+075,SS433,30002041010,2.675429085,2899.4468,,,
X1908+075,GRS1915p105,90001001002,3.538758514,19297.5405,,,
X1908+075,SS433,30002041012,2.617090968,21385.4825,,,
X1908+075,SS433,30002041014,2.612605743,26179.4744,,,
X1908+075,SS433,30002041016,2.605560641,29526.1009,,,
X1908+075,XTE_J1859p083,90001010002,2.972926486,19838.5951,,,
X1908+075,SS433,30002041018,2.602527772,27260.4807,,,
X1908+075,SS433,30002041020,2.618982034,26597.6049,,,
X1908+075,GRS_1915p105,10102003002,3.497668946,3601.2524,,,
X1908+075,GRS_1915p105,30102037002,3.546858475,6493.5645,,,
X1908+075,GRS_1915p105,30102037004,3.54238888,7511.657,,,
X1908+075,GRS_1915p105,30202033002,3.544353025,6360.0507,,,
X1908+075,GRS_1915p105,30202033004,3.525836755,13260.5892,,,
X1908+075,SGR_1900p14,30201013002,1.931898516,122616.7124,,,
X1908+075,GRS_1915p105,90202045002,3.543941707,13902.5431,,,
X1908+075,GRS_1915p105,90202045004,3.548678928,19817.0539,,,
X1908+075,GRS_1915p105,90201053002,3.54813337,13097.4004,,,
X1908+075,GRS_1915p105,90301001002,3.553372013,15087.9776,,,
X1908+075,GRS_1915p105,30302018002,3.551672611,17869.6634,,,
X1908+075,GRS_1915p105,30302018004,3.48467923,11354.6263,,,
X1908+075,GRS_1915p105,30302020002,3.480080034,7074.8772,,,
X1908+075,GRS_1915p105,30302020004,3.481691403,5361.7634,,,
X1908+075,W49B,40301001002,1.575221821,125634.0431,,,
X1908+075,GRS_1915p105,30302020006,3.542001717,11766.8355,,,
X1908+075,GRS_1915p105,30302020008,3.538889126,12919.2304,,,
X1908+075,GRS_1915p105,80401312002,3.539720359,26166.4891,,,
X1908+075,4U_1907p09,30401018002,2.248376857,78859.776,,,
X1908+075,XTE_J1908p094,90501317002,1.87327365,40802.1183,,,
X1908+075,GRS_1915p105,90501321002,3.551671309,28700.368,,,
X1908+075,GRS_1915p105,30502008002,3.550339983,25743.0725,,,
X1908+075,334.199707,956.0227125,,,,,
,,,,,,,
4U 1901+03,Aql_X1,80001034002,3.211836198,11084.1682,,,
4U 1901+03,Aql_X1,80001034003,3.228278158,21485.5687,,,
4U 1901+03,SS433,30002041002,2.683366934,26728.3618,,,
4U 1901+03,SS433,30002041004,2.671289502,25297.2929,,,
4U 1901+03,SS433,30002041006,2.675144038,29191.7762,,,
4U 1901+03,SS433,30002041008,2.667043583,27825.9359,,,
4U 1901+03,SS433,30002041010,2.67775222,2899.4468,,,
4U 1901+03,SS433,30002041012,2.737935369,21385.4825,,,
4U 1901+03,SS433,30002041014,2.737756061,26179.4744,,,
4U 1901+03,SS433,30002041016,2.739446498,29526.1009,,,
4U 1901+03,SS433,30002041018,2.742601166,27260.4807,,,
4U 1901+03,SS433,30002041020,2.693793517,26597.6049,,,
4U 1901+03,Aql_X1,90202033002,3.230380192,9988.3547,,,
4U 1901+03,Aql_X1,80001043002,3.242861711,72635.7492,,,
4U 1901+03,W44,40301003002,2.688066631,53569.878,,,
4U 1901+03,0,411.6556758,,,,,
,,,,,,,
CIRCINUS GALAXY,IGRJ14471m6414,60061257002,3.678301334,15041.7666,,,
CIRCINUS GALAXY,GS_1354m645,90101006002,1.685570568,24021.9078,,,
CIRCINUS GALAXY,GS_1354m645,90101006004,1.710763445,29700.9059,,,
CIRCINUS GALAXY,GS_1354m645,90101006006,1.718493823,35347.2621,,,
CIRCINUS GALAXY,H1417m624,90402318002,2.771252059,28817.2516,,,
CIRCINUS GALAXY,PSR_J1400m6325,30364001002,2.298646075,27443.9315,,,
CIRCINUS GALAXY,MAXI_J1348m630,80502304002,3.378361862,13784.4008,,,
CIRCINUS GALAXY,MAXI_J1348m630,80502304004,3.380974393,15367.9371,,,
CIRCINUS GALAXY,MAXI_J1348m630,80502304006,3.383344205,17182.5972,,,
CIRCINUS GALAXY,89.0700758,206.7079606,,,,,
,,,,,,,
4U 1702-429,IGR_J16493m4348,30102054002,3.187994395,22628.6805,,,
4U 1702-429,IGR_J16493m4348,30102054004,3.191684649,31228.4427,,,
4U 1702-429,IGR_J16493m4348,30102054006,3.165311761,21561.1383,,,
4U 1702-429,RXJ1713d7m3946_NW_P1,40111001002,3.64611946,49596.616,,,
4U 1702-429,RXJ1713d7m3946_NW_P2,40111002002,3.609604903,57357.277,,,
4U 1702-429,4U_1705m44,30101025002,1.16010102,14181.5471,,,
4U 1702-429,G346d6m0d2,40201001002,2.933595175,62775.7322,,,
4U 1702-429,Swift_J1658d2m4242,90401307001,1.501658454,487.7658,,,
4U 1702-429,Swift_J1658d2m4242,90401307002,1.498198298,33337.1134,,,
4U 1702-429,Swift_J1658d2m4242,80301301002,1.495297017,31536.7413,,,
4U 1702-429,Swift_J1658d2m4242,80302302002,1.495610249,24024.8463,,,
4U 1702-429,Swift_J1658d2m4242,80302302004,1.496315271,25075.9267,,,
4U 1702-429,Swift_J1658d2m4242,80302302006,1.497934922,28244.5769,,,
4U 1702-429,Swift_J1658d2m4242,80302302008,1.491641969,26714.1436,,,
4U 1702-429,Swift_J1658d2m4242,80302302010,1.489921763,29102.0012,,,
4U 1702-429,Swift_J1658d2m4242,90401317002,1.498362582,28493.0101,,,
4U 1702-429,PSR_J1709m4429,30401017002,1.608335836,43134.7425,,,
4U 1702-429,IGR_J17195m4100,30460005002,3.153495322,29536.3688,,,
4U 1702-429,284.3324149,559.0166704,,,,,
,,,,,,,
4U1954+319,Cyg_X1_oa,1011001,3.194790191,10259.1173,,,
4U1954+319,Cyg_X1_oa,1011002,3.192642284,3674.6566,,,
4U1954+319,Cyg_X1,10002003001,3.17748994,8971.6626,,,
4U1954+319,Cyg_X1,30001011002,3.09245011,10442.1135,,,
4U1954+319,Cyg_X1,30001011003,3.122788681,5096.4978,,,
4U1954+319,Cyg_X1_PSF01,10014001001,3.265050187,4183.817,,,
4U1954+319,KS1947p300,80002015002,2.339019456,18357.4561,,,
4U1954+319,KS1947p300,80002015004,2.338390813,18588.4124,,,
4U1954+319,KS1947p300,80002015006,2.319778026,27285.0981,,,
4U1954+319,Cyg_X1,30001011005,3.173171126,13507.8589,,,
4U1954+319,Cyg_X1,30001011007,3.185601402,34373.0798,,,
4U1954+319,Cyg_X1,30001011009,3.132747462,20356.0432,,,
4U1954+319,Cyg_X1,30001011011,3.129929685,16824.1158,,,
4U1954+319,Cygnus_X1,30101022002,3.183450932,19863.9629,,,
4U1954+319,Cyg_X1,10102001002,3.111702251,11797.0121,,,
4U1954+319,Cyg_X1,90101019002,3.130752624,21335.0855,,,
4U1954+319,Cyg_X1,90101020002,3.137282471,13472.3011,,,
4U1954+319,Cyg_X1,30002150002,3.184872526,49857.5778,,,
4U1954+319,Cyg_X1,30002150004,3.174980718,50904.4074,,,
4U1954+319,Cyg_X1,30002150006,3.177823274,52549.9156,,,
4U1954+319,Cyg_X1,30002150008,3.174790719,28718.1747,,,
4U1954+319,Cygnus_X1,30202032002,3.163341403,13311.8628,,,
4U1954+319,DA_495,30362003002,2.749822449,59870.5155,,,
4U1954+319,0,513.6007445,,,,,
,,,,,,,
4U 0836-429,RX_J0852_NW,40101011002,3.445446036,69005.0255,,,
4U 0836-429,RX_J0852_NW,40101011004,3.444247778,102163.2423,,,
4U 0836-429,0,171.1682678,,,,,
,,,,,,,
NGC 4945,NGC4785,60001143002,2.129127777,48831.7457,,,
NGC 4945,0,48.8317457,,,,,
,,,,,,,
A 1742-294,IGRJ17544m2619,30002003002,3.673765118,17533.22,,,
A 1742-294,IGRJ17544m2619,30002003003,3.654396773,26238.4995,,,
A 1742-294,G1d9p0d3,40001015002,2.369102134,8913.9606,,,
A 1742-294,G1d9p0d3,40001015003,2.380539522,85397.4212,,,
A 1742-294,G1d9p0d3,40001015005,2.38219902,121641.8301,,,
A 1742-294,G1d9p0d3,40001015007,2.38110271,144685.1722,,,
A 1742-294,SgrB2_MOS01,40012018002,1.161950059,143856.8336,,,
A 1742-294,SgrB2_MOS02,40012019001,1.187396081,153456.456,,,
A 1742-294,GRS1739m278,80002018002,1.955134679,29713.6445,,,
A 1742-294,GRS1734m292,60061279002,1.93310069,20292.5873,,,
A 1742-294,H1743m322,80001044002,2.720406863,50449.7126,,,
A 1742-294,H1743m322,80001044004,2.723273393,61284.1923,,,
A 1742-294,H1743m322,80001044006,2.73280778,25669.3923,,,
A 1742-294,IGRJ17544m2619,90001005002,3.713291927,79252.215,,,
A 1742-294,IGR_J17511m3057,90101001002,1.805045114,42244.8923,,,
A 1742-294,H1743m322,80002040002,2.736427239,28295.4107,,,
A 1742-294,H1743m322,80002040004,2.746123001,28107.1284,,,
A 1742-294,H1743m322,80002040006,2.743110391,26357.3686,,,
A 1742-294,GRS_1739m278,80101050002,1.920374077,43382.9711,,,
A 1742-294,H_1743m322,80202012002,2.699157133,65862.5688,,,
A 1742-294,H_1743m322,80202012004,2.699245156,65688.1101,,,
A 1742-294,GRS_1739m278,80102101002,1.915427056,27137.2417,,,
A 1742-294,GRS_1739m278,80102101004,1.917405828,25899.4087,,,
A 1742-294,GRS_1739m278,80102101005,1.914777154,27023.153,,,
A 1742-294,IGRJ17329m2731,90301012002,3.544857375,20846.0337,,,
A 1742-294,GX_3p1,30363001002,2.948689855,13664.2019,,,
A 1742-294,Sgr_B2,40401001002,1.190925707,149234.7432,,,
A 1742-294,GRS_1734m292,60301010002,1.903905743,26020.3307,,,
A 1742-294,IGR_J17503m2636,90401333002,3.024546795,39101.1763,,,
A 1742-294,H_1743m322,90401335002,2.739350572,38447.5074,,,
A 1742-294,2MASSJ17485512m3254521,60160677002,3.420342138,21801.4007,,,
A 1742-294,688.2622621,1657.498785,,,,,
,,,,,,,
4U 1907+097,GRS1915p105,10002004001,1.781558689,14846.1223,,,
4U 1907+097,GRS1915p105,90001001002,1.800221517,19297.5405,,,
4U 1907+097,XTE_J1859p083,90001010002,3.03063338,19838.5951,,,
4U 1907+097,4U_1909p07,30101050002,2.234654844,41343.8497,,,
4U 1907+097,GRS_1915p105,10102003002,1.74527549,3601.2524,,,
4U 1907+097,GRS_1915p105,30102037002,1.790403094,6493.5645,,,
4U 1907+097,GRS_1915p105,30102037004,1.783258908,7511.657,,,
4U 1907+097,GRS_1915p105,30202033002,1.774052669,6360.0507,,,
4U 1907+097,GRS_1915p105,30202033004,1.749264657,13260.5892,,,
4U 1907+097,GRS_1915p105,90202045002,1.80323728,13902.5431,,,
4U 1907+097,GRS_1915p105,90202045004,1.794057563,19817.0539,,,
4U 1907+097,GRS_1915p105,90201053002,1.794081474,13097.4004,,,
4U 1907+097,GRS_1915p105,90301001002,1.792615564,15087.9776,,,
4U 1907+097,GRS_1915p105,30302018002,1.774597068,17869.6634,,,
4U 1907+097,GRS_1915p105,30302018004,1.721387135,11354.6263,,,
4U 1907+097,GRS_1915p105,30302020002,1.722814291,7074.8772,,,
4U 1907+097,GRS_1915p105,30302020004,1.727280542,5361.7634,,,
4U 1907+097,GRS_1915p105,30302020006,1.787659894,11766.8355,,,
4U 1907+097,GRS_1915p105,30302020008,1.781472672,12919.2304,,,
4U 1907+097,GRS_1915p105,80401312002,1.765704355,26166.4891,,,
4U 1907+097,GRS_1915p105,90501321002,1.788553488,28700.368,,,
4U 1907+097,GRS_1915p105,30502008002,1.780353357,25743.0725,,,
4U 1907+097,280.2326774,341.4151222,,,,,
,,,,,,,
GX 3+1,1E1740d7m2942,10002012001,3.341421121,10968.4558,,,
GX 3+1,1E1740d7m2942,10002021001,3.347191197,2172.0005,,,
GX 3+1,SgrAstar,30001002001,2.540375245,156798.5508,,,
GX 3+1,1E1740d7m2942,10002021003,3.298703034,6125.2671,,,
GX 3+1,SgrAstar,30001002002,2.496057768,12088.1455,,,
GX 3+1,SgrAstar,30001002003,2.506923353,77963.8403,,,
GX 3+1,Gal_Cen_MOS001,40010001002,2.487699201,24053.6992,,,
GX 3+1,Gal_Cen_MOS002,40010002001,2.518815798,24509.8675,,,
GX 3+1,Gal_Cen_MOS003,40010003001,2.388164432,24199.7003,,,
GX 3+1,Gal_Cen_MOS004,40010004001,2.415130933,24032.3799,,,
GX 3+1,Gal_Cen_MOS005,40010005001,2.282907589,25992.9403,,,
GX 3+1,Gal_Cen_MOS006,40010006001,2.311059929,23563.7354,,,
GX 3+1,SgrAstar,30001002004,2.526557807,50173.8925,,,
GX 3+1,SgrAstar,30001002006,2.484747288,37066.8647,,,
GX 3+1,gcmagnetar,80002013002,2.482919036,49697.5581,,,
GX 3+1,gcmagnetar,80002013004,2.466935529,38525.8611,,,
GX 3+1,gcmagnetar,80002013006,2.469132309,32615.7254,,,
GX 3+1,gcmagnetar,80002013008,2.46804359,38832.1538,,,
GX 3+1,gcmagnetar,80002013010,2.467775913,37319.0136,,,
GX 3+1,gcmagnetar,80002013012,2.499115095,26765.7439,,,
GX 3+1,IGRJ17544m2619,30002003002,1.496594074,17533.22,,,
GX 3+1,IGRJ17544m2619,30002003003,1.481286964,26238.4995,,,
GX 3+1,gcmagnetar,80002013014,2.537407792,8572.0337,,,
GX 3+1,gcmagnetar,80002013015,2.533977026,423.774,,,
GX 3+1,gcmagnetar,80002013016,2.535446773,21009.6938,,,
GX 3+1,gcmagnetar,80002013018,2.526387215,22567.5203,,,
GX 3+1,GalSurvey_A_MOS001,40031001002,2.437103147,41303.7111,,,
GX 3+1,GalSurvey_A_MOS002,40031002001,2.398139474,40430.6648,,,
GX 3+1,GalSurvey_A_MOS003,40031003002,2.335988108,37485.6181,,,
GX 3+1,GalSurvey_A_MOS004,40031004001,2.316138566,40984.185,,,
GX 3+1,GalSurvey_A_MOS005,40031005001,2.241816192,40849.4865,,,
GX 3+1,gcmagnetar,80002013020,2.532698126,12066.7733,,,
GX 3+1,gcmagnetar,80002013022,2.526971206,11209.311,,,
GX 3+1,gcmagnetar,80002013024,2.516576784,11737.613,,,
GX 3+1,GalSurvey_B_MOS001,40032001002,3.150805099,40616.2075,,,
GX 3+1,GalSurvey_B_MOS002,40032002001,3.127831989,40774.2278,,,
GX 3+1,GalSurvey_B_MOS003,40032003001,3.110092539,40725.8812,,,
GX 3+1,gcmagnetar,80002013026,2.514949706,31955.9761,,,
GX 3+1,GalSurvey_B_MOS005,40032005002,3.0267738,26124.1003,,,
GX 3+1,GalSurvey_B_MOS004,40032004002,3.054864273,23023.4738,,,
GX 3+1,GalSurvey_B_MOS006,40032006001,3.008141522,29016.471,,,
GX 3+1,GalSurvey_B_MOS007,40032007001,2.954068176,31361.8227,,,
GX 3+1,GalSurvey_B_MOS008,40032008001,2.930521511,35380.106,,,
GX 3+1,GalSurvey_B_MOS009,40032009002,2.915134442,43058.7938,,,
GX 3+1,GalSurvey_B_MOS010,40032010001,2.857733284,42946.6894,,,
GX 3+1,GalSurvey_B_MOS011,40032011001,2.836484802,42789.9038,,,
GX 3+1,GalSurvey_B_MOS012,40032012002,2.811533624,40051.625,,,
GX 3+1,GalSurvey_B_MOS013,40032013002,2.77563698,41691.725,,,
GX 3+1,GalSurvey_B_MOS014,40032014002,2.755204265,44783.14,,,
GX 3+1,GalSurvey_B_MOS015,40032015001,2.735739021,41500.3292,,,
GX 3+1,SgrB2_MOS01,40012018002,1.828790642,143856.8336,,,
GX 3+1,SgrB2_MOS02,40012019001,1.824668763,153456.456,,,
GX 3+1,GRO_J1744m28,80002017002,2.264973749,28668.9229,,,
GX 3+1,GRO_J1744m28,80002017004,2.255789408,8542.077,,,
GX 3+1,GRS1739m278,80002018002,1.619713342,29713.6445,,,
GX 3+1,SgrAstar,30001002008,2.519193631,33175.9409,,,
GX 3+1,SgrAstar,30001002010,2.550171177,61490.3186,,,
GX 3+1,GalSurvey_A_MOS006,40031006002,2.243844198,40234.6327,,,
GX 3+1,GalSurvey_A_MOS007,40031007001,2.172426807,40743.3542,,,
GX 3+1,GalSurvey_A_MOS008,40031008001,2.145942188,41045.9775,,,
GX 3+1,GalSurvey_B_MOS016,40032016001,2.679660017,41748.7727,,,
GX 3+1,GalSurvey_B_MOS017,40032017002,2.646455408,40273.7648,,,
GX 3+1,SgrAstar,30002002002,2.538426194,60313.8156,,,
GX 3+1,GalSurvey_B_MOS018,40032018002,2.621044214,42013.971,,,
GX 3+1,GRS1734m292,60061279002,3.49403815,20292.5873,,,
GX 3+1,SgrAstar,30002002004,2.534056514,67844.8343,,,
GX 3+1,GalSurvey_B_MOS019,40032019002,2.580159073,43092.4324,,,
GX 3+1,IGRJ17454m2919,80001046002,2.856330322,29408.6611,,,
GX 3+1,GalSurvey_B_MOS020,40032020002,2.554199845,39103.9854,,,
GX 3+1,GalSurvey_B_MOS021,40032021001,2.532167541,39405.1029,,,
GX 3+1,SgrAstar,30002002006,2.471932781,29595.4184,,,
GX 3+1,IGRJ17544m2619,90001005002,1.496216702,79252.215,,,
GX 3+1,SgrAstar,30002002008,2.464269311,25718.522,,,
GX 3+1,SgrAstar,30002002010,2.478173568,14383.8581,,,
GX 3+1,SgrAstar,30002002012,2.476530633,13173.0986,,,
GX 3+1,AX_J1745d6m2901,90101012002,2.557032151,45113.6966,,,
GX 3+1,GRS_1739m278,80101050002,1.69720221,43382.9711,,,
GX 3+1,Arches_cluster,40101001002,2.339412391,107188.988,,,
GX 3+1,Arches_cluster,40101001004,2.338001719,107856.0856,,,
GX 3+1,Swift_J174540d7m290015,90101022001,2.479267831,452.0265,,,
GX 3+1,Swift_J174540d7m290015,90101022002,2.477164482,33849.3404,,,
GX 3+1,GCR_Block_B1,40112003002,3.09850539,55534.2903,,,
GX 3+1,GCR_Block_B2,40112004001,3.095307172,53375.7853,,,
GX 3+1,GX_5m1,30102056002,3.350304532,11153.9955,,,
GX 3+1,GX_5m1,30102056004,3.351131777,10480.9981,,,
GX 3+1,GX_5m1,30102056006,3.340548626,10314.2186,,,
GX 3+1,SWIFT_J174540d2m290037,90201026002,2.485105083,49025.6759,,,
GX 3+1,COm0d4m0d22,90201020002,2.905548659,93528.3391,,,
GX 3+1,GRS_1739m278,80102101002,1.698234325,27137.2417,,,
GX 3+1,GRS_1739m278,80102101004,1.702644049,25899.4087,,,
GX 3+1,SgrA_molecular_clouds,40202001002,2.374133362,150856.4943,,,
GX 3+1,GRS_1739m278,80102101005,1.723517134,27023.153,,,
GX 3+1,GRO_J1744m28,80202027002,2.266768301,28822.7225,,,
GX 3+1,GCR_Block_A1,40112001002,2.336417312,103300.4709,,,
GX 3+1,GCR_Block_A2,40112002002,2.37270174,101216.783,,,
GX 3+1,SgrAstar,30302006002,2.475630885,65020.7746,,,
GX 3+1,SgrAstar,30302006004,2.476759742,18579.9472,,,
GX 3+1,SgrAstar,30302006006,2.479243417,20343.2806,,,
GX 3+1,SgrAstar,30302007002,2.537332924,46156.994,,,
GX 3+1,SgrAstar,30302007004,2.538945931,51569.624,,,
GX 3+1,IGRJ17329m2731,90301012002,3.514156081,20846.0337,,,
GX 3+1,Swift_J1756d9m2508,90402313002,2.528715366,39476.062,,,
GX 3+1,IGRJ17476m2253,60463061002,3.701727943,26097.3603,,,
GX 3+1,Sgr_B2,40401001002,1.810598788,149234.7432,,,
GX 3+1,Swift_J1756d9m2508,90402313004,2.562009483,60978.1803,,,
GX 3+1,SgrAstar,60466001002,2.473227427,19340.1227,,,
GX 3+1,SgrAstar,60466001004,2.47534838,21389.1598,,,
GX 3+1,SgrAstar,60466001006,2.476633946,18709.5273,,,
GX 3+1,SgrAstar,60466001008,2.480077607,21205.4604,,,
GX 3+1,GRS_1734m292,60301010002,3.425563033,26020.3307,,,
GX 3+1,IGR_J17591m2342,90401331002,3.756305244,27086.8402,,,
GX 3+1,IGR_J17591m2342,80301311002,3.771156563,29167.8325,,,
GX 3+1,SgrAstar,30502005002,2.464882968,15455.155,,,
GX 3+1,SgrAstar,30502005004,2.470161956,153015.4806,,,
GX 3+1,Swift_J1756d9m2508,90501329001,2.47918533,37737.7448,,,
GX 3+1,SgrAstar,90501330002,2.537189959,104451.5791,,,
GX 3+1,SgrAstar,30502006002,2.540172857,38556.2473,,,
GX 3+1,SgrAstar,30502006004,2.542348672,34749.5942,,,
GX 3+1,722.7283863,4948.92793,,,,,
,,,,,,,
GX 13+1,SwiftJ1808d4m1754,80002014002,1.621716689,42500.0217,,,
GX 13+1,SGR_1806m20,30102038002,3.510642504,33244.3454,,,
GX 13+1,G11d2m0d3,40101012002,2.312768706,30132.0043,,,
GX 13+1,G11d2m0d3,40101012003,2.305648033,32357.89,,,
GX 13+1,G11d2m0d3,40101012004,2.313113878,35340.4855,,,
GX 13+1,SGR_1806m20,30102038004,3.577835386,28696.7761,,,
GX 13+1,SGR_1806m20,30102038006,3.557429963,31180.2292,,,
GX 13+1,SGR_1806m20,30102038007,3.536942816,11017.01,,,
GX 13+1,GX_17p2,30101023002,3.163875409,11447.1853,,,
GX 13+1,SGR_1806m20,30102038009,3.50551565,29891.9006,,,
GX 13+1,2MASXiJ1802473m145454,60160680002,3.607639541,19960.2966,,,
GX 13+1,G11d2m0d3,90201027002,2.372513998,90943.157,,,
GX 13+1,LS_5039,30201034002,3.610793314,178093.1177,,,
GX 13+1,Swift_J1816d7m1613,90201049002,1.103806628,50398.0431,,,
GX 13+1,SAX_J1818d6m1703,30301025002,1.018991448,53534.3246,,,
GX 13+1,SGR_1806m20,80402320002,3.579728681,39917.0977,,,
GX 13+1,XTE_J1810m197,80202013003,2.762676119,40929.7424,,,
GX 13+1,XTE_J1810m197,80202013005,2.755304109,38941.4001,,,
GX 13+1,146.4323894,798.5250273,,,,,
,,,,,,,
SLX 1735-269,1E1740d7m2942,10002012001,3.02667297,10968.4558,,,
SLX 1735-269,1E1740d7m2942,10002021001,3.03008342,2172.0005,,,
SLX 1735-269,SgrAstar,30001002001,2.601681499,156798.5508,,,
SLX 1735-269,1E1740d7m2942,10002021003,2.995053172,6125.2671,,,
SLX 1735-269,SgrAstar,30001002002,2.575004491,12088.1455,,,
SLX 1735-269,SgrAstar,30001002003,2.56743045,77963.8403,,,
SLX 1735-269,Gal_Cen_MOS001,40010001002,2.533072386,24053.6992,,,
SLX 1735-269,Gal_Cen_MOS002,40010002001,2.6064943,24509.8675,,,
SLX 1735-269,Gal_Cen_MOS003,40010003001,2.49508062,24199.7003,,,
SLX 1735-269,Gal_Cen_MOS004,40010004001,2.572144609,24032.3799,,,
SLX 1735-269,Gal_Cen_MOS005,40010005001,2.462499784,25992.9403,,,
SLX 1735-269,Gal_Cen_MOS006,40010006001,2.540336604,23563.7354,,,
SLX 1735-269,SgrAstar,30001002004,2.583825997,50173.8925,,,
SLX 1735-269,SgrAstar,30001002006,2.588899857,37066.8647,,,
SLX 1735-269,gcmagnetar,80002013002,2.588512846,49697.5581,,,
SLX 1735-269,gcmagnetar,80002013004,2.580007645,38525.8611,,,
SLX 1735-269,gcmagnetar,80002013006,2.581160726,32615.7254,,,
SLX 1735-269,gcmagnetar,80002013008,2.577585334,38832.1538,,,
SLX 1735-269,gcmagnetar,80002013010,2.575697375,37319.0136,,,
SLX 1735-269,gcmagnetar,80002013012,2.61193915,26765.7439,,,
SLX 1735-269,IGRJ17544m2619,30002003002,3.690745562,17533.22,,,
SLX 1735-269,IGRJ17544m2619,30002003003,3.674817293,26238.4995,,,
SLX 1735-269,gcmagnetar,80002013014,2.609111377,8572.0337,,,
SLX 1735-269,gcmagnetar,80002013015,2.597460659,423.774,,,
SLX 1735-269,gcmagnetar,80002013016,2.605684405,21009.6938,,,
SLX 1735-269,G1d9p0d3,40001015002,2.331231946,8913.9606,,,
SLX 1735-269,G1d9p0d3,40001015003,2.325168867,85397.4212,,,
SLX 1735-269,G1d9p0d3,40001015005,2.327560862,121641.8301,,,
SLX 1735-269,G1d9p0d3,40001015007,2.33208412,144685.1722,,,
SLX 1735-269,gcmagnetar,80002013018,2.592366907,22567.5203,,,
SLX 1735-269,GalSurvey_A_MOS001,40031001002,2.38015805,41303.7111,,,
SLX 1735-269,GalSurvey_A_MOS002,40031002001,2.283378451,40430.6648,,,
SLX 1735-269,GalSurvey_A_MOS003,40031003002,2.340950214,37485.6181,,,
SLX 1735-269,GalSurvey_A_MOS004,40031004001,2.244290871,40984.185,,,
SLX 1735-269,GalSurvey_A_MOS005,40031005001,2.313591148,40849.4865,,,
SLX 1735-269,gcmagnetar,80002013020,2.593529558,12066.7733,,,
SLX 1735-269,gcmagnetar,80002013022,2.59026714,11209.311,,,
SLX 1735-269,gcmagnetar,80002013024,2.593988229,11737.613,,,
SLX 1735-269,GalSurvey_B_MOS001,40032001002,2.813992495,40616.2075,,,
SLX 1735-269,GalSurvey_B_MOS002,40032002001,2.730757143,40774.2278,,,
SLX 1735-269,GalSurvey_B_MOS003,40032003001,2.648450443,40725.8812,,,
SLX 1735-269,gcmagnetar,80002013026,2.588808406,31955.9761,,,
SLX 1735-269,GalSurvey_B_MOS005,40032005002,2.675267088,26124.1003,,,
SLX 1735-269,GalSurvey_B_MOS004,40032004002,2.760685972,23023.4738,,,
SLX 1735-269,GalSurvey_B_MOS006,40032006001,2.596579113,29016.471,,,
SLX 1735-269,GalSurvey_B_MOS007,40032007001,2.709180021,31361.8227,,,
SLX 1735-269,GalSurvey_B_MOS008,40032008001,2.628316486,35380.106,,,
SLX 1735-269,GalSurvey_B_MOS009,40032009002,2.540100902,43058.7938,,,
SLX 1735-269,GalSurvey_B_MOS010,40032010001,2.660393307,42946.6894,,,
SLX 1735-269,GalSurvey_B_MOS011,40032011001,2.573562546,42789.9038,,,
SLX 1735-269,GalSurvey_B_MOS012,40032012002,2.48704743,40051.625,,,
SLX 1735-269,GalSurvey_B_MOS013,40032013002,2.615159897,41691.725,,,
SLX 1735-269,GalSurvey_B_MOS014,40032014002,2.528226086,44783.14,,,
SLX 1735-269,GalSurvey_B_MOS015,40032015001,2.441226542,41500.3292,,,
SLX 1735-269,SgrB2_MOS01,40012018002,2.373817718,143856.8336,,,
SLX 1735-269,SgrB2_MOS02,40012019001,2.492456417,153456.456,,,
SLX 1735-269,GRO_J1744m28,80002017002,2.223760866,28668.9229,,,
SLX 1735-269,GRO_J1744m28,80002017004,2.224654429,8542.077,,,
SLX 1735-269,GRS1739m278,80002018002,1.227112352,29713.6445,,,
SLX 1735-269,SgrAstar,30001002008,2.60762238,33175.9409,,,
SLX 1735-269,SgrAstar,30001002010,2.608361232,61490.3186,,,
