Go here,ftp://ftp.srl.caltech.edu/pub/,Go to nustar/from_hassif/straylight_triage,,,,"Bad = No stray light, Good = Obvious stray light from this source, Easy = ONLY stray light from this source",
Name,,Sequence ID,Off-axis (deg),Exposure (ks),Checked By:,Good / Bad / Easy,Notes
GX 339-4,CXO_J164710d2m455216,80201050006,3.919601139,23937.4483,Ellen,Bad,Bright source with ghost rays
GX 339-4,CXO_J164710d2m455216,80201050008,3.944282334,39717.5499,Ellen,Bad,Bright source with ghost rays
GX 339-4,0,106.8276236,,,,,
,,,,,,,
A 0535+262,Crab_nuabs_01,10110001002,3.549787864,21068.3774,Ellen,Good,"SL cleanly detected in FPMB, FPMA has large ghost ray "
A 0535+262,Crab_nuabs_03,10110003002,3.386466422,22827.3824,Ellen,"Good
","No SL in FPMA, Large region in FPMB "
A 0535+262,Crab_nuabs_04,10110004002,2.989275823,20888.1412,Ellen,Good,"Large region of SL in FPMA, none in FPMB"
A 0535+262,Crab_sl_PA150,10311001002,3.453784565,1909.5379,,,
A 0535+262,Crab_bkgd_PA150,10311002002,3.820634785,3091.2614,,,
A 0535+262,Crab_sl_PA150,10311001004,3.471823173,18385.7886,,,
A 0535+262,Crab_bkgd_PA150,10311002004,3.803518117,20573.6206,,,
A 0535+262,Crab_sl_PA150,10311001006,3.475383628,20729.4639,,,
A 0535+262,Crab_bkgd_PA150,10311002006,3.819827164,18121.3269,,,
A 0535+262,Crab_sl_PA150,10311001008,3.464557134,19747.7673,,,
A 0535+262,Crab_bkgd_PA150,10311002008,3.810331284,20717.578,,,
A 0535+262,Crab_bkgd_PA150,10402005002,3.807861589,28503.1811,,,
A 0535+262,Crab_sl_PA150,10402004002,3.467085097,23463.0172,,,
A 0535+262,Crab_sl_PA150,10402004004,3.466118994,32596.1781,,,
A 0535+262,Crab_sl_PA150,10402004006,3.467199927,39449.8779,,,
A 0535+262,1A_0535p262_SADA_18360,90401371001,2.498735209,230.0561,Ellen,Bad,No SL
A 0535+262,1A_0535p262_SADA_18360,90401371002,2.503160865,650.703,Ellen,Bad,No SL
A 0535+262,1RXS_J052523d2p241331,30460020002,3.747264678,58785.3071,Ellen,Good,"Some SL, bright point source present but not overlapping"
A 0535+262,Crab_sl_A12_PA333,10502006002,3.380957405,4411.2713,,,
A 0535+262,0,376.1498374,,,,,
,,,,,,,
OAO 1657-415,IGR_J16493m4348,30102054002,3.046384421,22628.6805,Ellen,Good,"SL in FPMA, point source and faint additional SL regions seen but no overlap"
OAO 1657-415,IGR_J16493m4348,30102054004,3.049824105,31228.4427,Ellen,Good,"SL in FPMA, point source and faint additional SL regions seen but no overlap"
OAO 1657-415,IGR_J16493m4348,30102054006,3.025587098,21561.1383,Ellen,Good,"Faint but large SL region in FPMA, bad overlapping regions in FMPB, point source in both
"
OAO 1657-415,RXJ1713d7m3946_NW_P1,40111001002,2.933828245,49596.616,Ellen,Bad,No clear SL
OAO 1657-415,4U_1700m37,30101027002,3.877406825,38024.9868,Ellen,Bad,No SL
OAO 1657-415,RXJ1713d7m3946_NW_P2,40111002002,2.934199119,57357.277,Ellen,Easy,SL cleanly seen by both detectors
OAO 1657-415,4U_1705m44,30101025002,2.855621354,14181.5471,Ellen,Bad,No SL
OAO 1657-415,G346d6m0d2,40201001002,2.299882382,62775.7322,Ellen,Bad,No SL
OAO 1657-415,PNE_G343,30301024002,1.515847328,37106.5707,Ellen,Bad,"Very faint SL, hard to tell whether overlapping w/ point source and other faint SL"
OAO 1657-415,4U_1702m43,30363005002,1.706692559,21697.6688,Ellen,Bad,No SL
OAO 1657-415,Swift_J1658d2m4242,90401307001,1.131976972,487.7658,Ellen,Bad,No SL
OAO 1657-415,Swift_J1658d2m4242,90401307002,1.124503696,33337.1134,Ellen,Good,"SL in FPMB, just grazing bright source "
OAO 1657-415,Swift_J1658d2m4242,80301301002,1.123774757,31536.7413,,,
OAO 1657-415,Swift_J1658d2m4242,80302302002,1.123501169,24024.8463,,,
OAO 1657-415,Swift_J1658d2m4242,80302302004,1.1244116,25075.9267,,,
OAO 1657-415,Swift_J1658d2m4242,80302302006,1.124594411,28244.5769,,,
OAO 1657-415,Swift_J1658d2m4242,80302302008,1.124362565,26714.1436,,,
OAO 1657-415,Swift_J1658d2m4242,80302302010,1.122518215,29102.0012,,,
OAO 1657-415,Swift_J1658d2m4242,90401317002,1.122743675,28493.0101,,,
OAO 1657-415,PSR_J1709m4429,30401017002,3.291729137,43134.7425,,,
OAO 1657-415,IGR_J17195m4100,30460005002,3.540251526,29536.3688,,,
OAO 1657-415,285.8203648,655.8458967,,,,,
,,,,,,,
GX 1+4,GRS1739m278,80002018002,3.816838504,29713.6445,,,
GX 1+4,Kepler,40001020002,3.256320589,246070.8203,,,
GX 1+4,GRS_1739m278,80101050002,3.830317597,43382.9711,,,
GX 1+4,GRS_1739m278,80102101002,3.835311412,27137.2417,,,
GX 1+4,GRS_1739m278,80102101004,3.831984406,25899.4087,,,
GX 1+4,GRS_1739m278,80102101005,3.829269513,27023.153,,,
GX 1+4,GRS_1716m249,80201034004,2.812288064,407.9585,,,
GX 1+4,GRS_1716m249,80201034006,2.813698375,6062.7455,,,
GX 1+4,GRS_1716m249,80201034007,2.796961416,43338.2285,,,
GX 1+4,Kepler,90201021002,3.272401778,126668.229,,,
GX 1+4,GRS_1716m249,90202055002,2.811700649,17895.8934,,,
GX 1+4,GRS_1716m249,90202055004,2.813105171,15796.0716,,,
GX 1+4,Kepler,90201021004,3.314363258,51296.2479,,,
GX 1+4,GRS_1716m249,90301007002,2.857584179,89262.5342,,,
GX 1+4,IGRJ17329m2731,90301012002,2.783761625,20846.0337,,,
GX 1+4,Kepler,90201021006,3.212979445,54472.1769,,,
GX 1+4,Kepler,90201021008,3.332926898,42060.0471,,,
GX 1+4,Kepler,90201021010,3.20613455,46877.9323,,,
GX 1+4,Kepler,10501005002,3.326336711,100944.6132,,,
GX 1+4,0,1015.155951,,,,,
,,,,,,,
EXO 2030+375,IGRJ20187p4041,60061297002,3.996975377,20967.4844,Brian,Bad,
EXO 2030+375,Sh2_104_TeV,30001048002,3.039239652,76577.5594,Brian,Bad,
EXO 2030+375,2FGLJ2018d0p3626_TeV,30001049002,3.105165767,87009.5744,Brian,Bad,
EXO 2030+375,Cyg_X3,10102002002,3.297902452,10168.2473,Brian,Bad,
EXO 2030+375,QSOB2013p370,60160732002,3.351973057,12669.7608,Brian,Bad,
EXO 2030+375,PSR_J2032p4127,90201036002,3.815642138,45558.4241,Brian,Bad,
EXO 2030+375,Cyg_X3,90202051002,3.3153969,14537.6736,Brian,Bad,
EXO 2030+375,Cyg_X3,90202051004,3.343833097,14532.858,Brian,Bad,
EXO 2030+375,PSR_J2032p4127,30302002002,3.792759236,37843.4443,Brian,Bad,
EXO 2030+375,PSR_J2032p4127,90302321002,3.789897682,39826.5843,Brian,Bad,
EXO 2030+375,PSR_J2032p4127,30302002004,3.793360961,42705.1779,Brian,Bad,
EXO 2030+375,PSR_J2032p4127,90302321004,3.795623969,40003.1426,Brian,Bad,
EXO 2030+375,PSR_J2032p4127,30302002006,3.787119337,41531.8154,Brian,Bad,
EXO 2030+375,RX_J2015d6p3711,30460021002,3.322856738,59560.5597,Brian,Bad,
EXO 2030+375,PSR_J2022p3842,30364002002,2.191197442,28000.3462,Brian,Bad,
EXO 2030+375,Cyg_X3,90502319002,3.356883358,12624.9228,Brian,Bad,
EXO 2030+375,0,584.1175752,,,,,
,,,,,,,
GX 17+2,IGRJ18214m1318,30001140002,1.442918342,26290.4641,,,
GX 17+2,IGRJ18293m1213,30161002002,3.694478518,29901.4917,,,
